id,qr_code_url,machine_id,is_used,created_at
153,qrcodes/qr_153.png,,f,2025-04-22 09:47:08.064844+03
154,qrcodes/qr_154.png,,f,2025-04-22 09:47:08.07348+03
155,qrcodes/qr_155.png,,f,2025-04-22 09:47:08.082941+03
156,qrcodes/qr_156.png,,f,2025-04-22 09:47:08.091865+03
157,qrcodes/qr_157.png,,f,2025-04-22 09:47:08.10037+03
158,qrcodes/qr_158.png,,f,2025-04-22 09:47:08.109326+03
159,qrcodes/qr_159.png,,f,2025-04-22 09:47:08.117875+03
160,qrcodes/qr_160.png,,f,2025-04-22 09:47:08.126504+03
161,qrcodes/qr_161.png,,f,2025-04-22 09:47:08.135741+03
162,qrcodes/qr_162.png,,f,2025-04-22 09:47:08.144596+03
163,qrcodes/qr_163.png,,f,2025-04-22 09:47:08.153654+03
164,qrcodes/qr_164.png,,f,2025-04-22 09:47:08.162678+03
165,qrcodes/qr_165.png,,f,2025-04-22 09:47:08.17134+03
166,qrcodes/qr_166.png,,f,2025-04-22 09:47:08.179753+03
167,qrcodes/qr_167.png,,f,2025-04-22 09:47:08.188687+03
168,qrcodes/qr_168.png,,f,2025-04-22 09:47:08.198081+03
169,qrcodes/qr_169.png,,f,2025-04-22 09:47:08.206394+03
170,qrcodes/qr_170.png,,f,2025-04-22 09:47:08.215458+03
171,qrcodes/qr_171.png,,f,2025-04-22 09:47:08.224103+03
172,qrcodes/qr_172.png,,f,2025-04-22 09:47:08.232468+03
173,qrcodes/qr_173.png,,f,2025-04-22 09:47:08.241572+03
174,qrcodes/qr_174.png,,f,2025-04-22 09:47:08.25059+03
175,qrcodes/qr_175.png,,f,2025-04-22 09:47:08.259352+03
176,qrcodes/qr_176.png,,f,2025-04-22 09:47:08.268287+03
177,qrcodes/qr_177.png,,f,2025-04-22 09:47:08.277398+03
178,qrcodes/qr_178.png,,f,2025-04-22 09:47:08.285846+03
179,qrcodes/qr_179.png,,f,2025-04-22 09:47:08.295181+03
180,qrcodes/qr_180.png,,f,2025-04-22 09:47:08.304035+03
181,qrcodes/qr_181.png,,f,2025-04-22 09:47:08.312796+03
182,qrcodes/qr_182.png,,f,2025-04-22 09:47:08.321994+03
183,qrcodes/qr_183.png,,f,2025-04-22 09:47:08.33066+03
184,qrcodes/qr_184.png,,f,2025-04-22 09:47:08.339115+03
185,qrcodes/qr_185.png,,f,2025-04-22 09:47:08.34801+03
186,qrcodes/qr_186.png,,f,2025-04-22 09:47:08.356808+03
187,qrcodes/qr_187.png,,f,2025-04-22 09:47:08.365386+03
188,qrcodes/qr_188.png,,f,2025-04-22 09:47:08.374712+03
189,qrcodes/qr_189.png,,f,2025-04-22 09:47:08.383848+03
190,qrcodes/qr_190.png,,f,2025-04-22 09:47:08.392183+03
191,qrcodes/qr_191.png,,f,2025-04-22 09:47:08.40147+03
192,qrcodes/qr_192.png,,f,2025-04-22 09:47:08.410329+03
193,qrcodes/qr_193.png,,f,2025-04-22 09:47:08.41899+03
194,qrcodes/qr_194.png,,f,2025-04-22 09:47:08.428623+03
195,qrcodes/qr_195.png,,f,2025-04-22 09:47:08.437082+03
196,qrcodes/qr_196.png,,f,2025-04-22 09:47:08.446339+03
197,qrcodes/qr_197.png,,f,2025-04-22 09:47:08.455296+03
198,qrcodes/qr_198.png,,f,2025-04-22 09:47:08.464096+03
199,qrcodes/qr_199.png,,f,2025-04-22 09:47:08.472913+03
200,qrcodes/qr_200.png,,f,2025-04-22 09:47:08.482235+03
201,qrcodes/qr_201.png,,f,2025-04-22 09:47:08.491118+03
202,qrcodes/qr_202.png,,f,2025-04-22 09:47:08.499699+03
203,qrcodes/qr_203.png,,f,2025-04-22 09:47:08.508958+03
204,qrcodes/qr_204.png,,f,2025-04-22 09:47:08.517658+03
205,qrcodes/qr_205.png,,f,2025-04-22 09:47:08.526573+03
206,qrcodes/qr_206.png,,f,2025-04-22 09:47:08.536277+03
207,qrcodes/qr_207.png,,f,2025-04-22 09:47:08.545191+03
208,qrcodes/qr_208.png,,f,2025-04-22 09:47:08.555699+03
209,qrcodes/qr_209.png,,f,2025-04-22 09:47:08.566917+03
210,qrcodes/qr_210.png,,f,2025-04-22 09:47:08.57894+03
211,qrcodes/qr_211.png,,f,2025-04-22 09:47:08.588158+03
